Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
395	77	50	64
396	21	38	3
397	22	54	35
398	83	4	70
399	61	94	75
400	55	81	68
401	11	42	22
402	37	50	63
403	31	57	44
404	80	24	11
405	39	65	53
406	51	25	38
407	45	71	58
408	72	91	57
409	65	78	91
410	34	60	47
411	53	40	66
412	69	3	82
413	37	24	50
414	54	80	67
415	41	29	16
416	44	57	31
417	54	80	67
418	69	56	43
419	26	52	39
420	24	11	80
421	17	50	30
422	40	66	53
423	47	34	21
424	26	13	39
425	42	55	29
426	40	27	53
427	61	87	74
428	34	21	11
429	47	59	33
430	55	68	42
431	72	85	11
432	11	36	23
433	47	21	34
434	3	21	75
435	50	76	63
436	76	89	63
437	48	61	35
438	69	11	83
439	18	44	31
440	59	46	72
441	54	80	67
442	42	55	29
443	70	12	83
444	79	66	53
445	71	11	84
446	59	92	77
447	36	62	49
448	33	59	46
449	52	26	39
450	77	64	90
451	49	83	63
452	11	23	36
453	40	60	27
454	3	74	20
455	42	68	55
456	85	59	72
457	45	32	19
458	41	74	54
459	47	73	60
460	56	69	82
461	71	12	84
462	34	60	47
463	77	24	11
464	80	24	11
465	21	4	32
466	13	39	26
467	63	90	77
468	26	39	52
469	76	21	11
470	56	43	30
471	79	11	23
472	77	21	11
473	67	54	41
474	78	52	65
475	40	65	53
476	69	4	82
477	30	44	57
478	31	64	45
479	31	57	44
480	53	79	66
481	71	11	84
482	56	89	70
483	37	70	50
484	61	88	75
485	28	54	41
486	32	45	19
487	50	83	63
488	29	43	56
489	63	96	76
490	48	35	21
491	39	64	52
492	33	46	59
493	78	98	65
494	50	76	63
495	57	44	31
496	15	41	28
497	4	21	75
498	78	22	12
499	53	78	66
500	35	22	48
501	72	12	85
502	17	44	31
503	15	49	29
504	72	12	85
505	85	11	72
506	19	45	32
507	57	90	70
508	59	45	72
509	49	62	36
510	61	87	74
511	42	75	56
512	78	91	65
513	49	62	36
514	61	74	48
515	21	4	31
516	11	22	78
517	84	12	71
518	77	90	64
519	56	89	70
520	65	91	78
521	34	61	48
522	35	49	62
523	18	44	31
524	72	89	11
525	60	94	74
526	80	12	24
527	35	62	49
528	16	48	29
529	44	77	57
530	64	51	77
531	32	66	46
532	91	78	65
533	11	78	23
534	45	71	58
535	60	48	35
536	27	61	40
537	25	12	38
538	28	54	41
539	31	43	18
540	22	35	48
541	66	92	79
542	35	22	11
543	22	42	11
544	44	77	58
545	13	39	26
546	28	54	41
547	61	87	74
548	71	12	84
549	37	50	24
550	24	11	36
551	13	46	26
552	38	25	12
553	32	58	45
554	50	64	77
555	17	30	43
556	12	40	20
557	11	70	83
558	52	40	27
559	45	78	59
560	49	82	62
561	55	25	39
562	76	21	3
563	12	45	25
564	37	12	24
565	74	29	4
566	13	39	26
567	84	3	67
568	22	48	35
569	27	53	40
570	48	75	62
571	38	71	51
572	16	49	29
573	65	98	78
574	29	55	42
575	35	68	48
576	22	48	35
577	25	12	38
578	26	59	40
579	11	34	21
580	86	73	60
581	11	34	21
582	37	70	50
583	49	23	36
584	74	29	3
585	59	85	73
586	21	31	3
587	47	80	60
588	11	85	72
589	80	24	12
590	33	66	46
591	23	11	79
592	36	23	11
593	30	63	43
594	36	62	49
595	31	57	44
596	34	60	47
597	73	48	61
598	31	44	18
599	42	55	68
600	24	37	50
601	65	91	78
602	21	3	31
603	48	74	61
604	53	66	40
605	23	36	11
606	56	82	70
607	58	45	32
608	31	64	44
609	43	70	57
610	3	32	21
611	29	43	16
612	67	93	80
613	52	85	66
614	21	48	35
615	30	63	43
616	16	29	42
