Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	22	51	37
1	40	66	53
2	17	50	30
3	70	104	84
4	21	54	34
5	58	91	71
6	12	39	26
7	30	63	43
8	31	65	45
9	90	123	104
10	53	86	66
11	70	104	84
12	25	62	42
13	89	123	103
14	19	45	32
15	50	76	63
16	41	74	54
17	12	38	25
18	42	76	56
19	84	118	98
20	14	40	28
21	55	81	68
22	91	117	104
23	70	103	83
24	93	3	106
25	14	48	28
26	34	67	47
27	46	72	60
28	36	70	50
29	35	61	48
30	85	113	99
31	11	38	25
32	77	110	90
33	86	112	99
34	11	36	23
35	39	65	52
36	39	72	52
37	3	31	21
38	64	97	77
39	85	118	98
40	50	76	63
41	29	63	43
42	39	66	53
43	81	115	95
44	76	102	89
45	52	65	78
46	48	81	61
47	27	61	41
48	91	118	105
49	85	111	98
50	48	82	62
51	15	48	28
52	74	108	87
53	23	36	50
54	61	94	74
55	78	105	92
56	26	53	40
57	12	45	25
58	48	74	61
59	78	105	92
60	11	42	22
61	51	84	65
62	76	89	103
63	45	72	59
64	75	101	88
65	31	58	45
66	13	39	26
67	58	71	84
68	15	49	29
69	60	94	74
70	22	56	36
71	49	63	76
72	79	105	92
73	96	11	109
74	66	93	80
75	101	29	3
76	66	93	80
77	73	107	87
78	3	21	32
79	69	102	82
80	90	117	103
81	80	113	93
82	71	104	84
83	59	85	72
84	34	67	47
85	50	77	63
86	23	57	37
87	73	100	87
88	68	81	94
89	35	48	61
90	61	87	74
91	91	125	105
92	78	111	91
93	20	47	33
94	52	78	65
95	75	109	89
96	43	77	57
97	73	100	87
98	18	52	32
99	94	4	107
100	57	84	71
101	37	64	51
102	38	52	65
103	68	95	82
104	37	64	51
105	22	48	35
106	11	36	23
107	26	52	39
108	11	42	22
109	51	85	65
110	63	90	77
111	56	82	69
112	100	29	3
113	47	80	60
114	102	21	11
115	28	54	41
116	45	72	59
117	33	67	47
118	34	60	47
119	90	116	103
120	75	109	89
121	81	95	108
122	62	89	76
123	75	109	89
124	89	115	102
125	18	51	31
126	49	76	63
127	13	40	26
128	87	113	100
129	93	3	106
130	11	36	23
131	48	81	61
132	17	43	30
133	21	55	35
134	64	97	78
135	27	61	41
136	86	119	99
137	95	11	108
138	72	98	85
139	23	49	36
140	93	3	106
141	42	68	55
142	94	3	108
143	11	34	21
144	75	108	88
145	101	29	3
146	33	59	46
147	92	118	105
148	64	97	77
149	30	63	43
150	86	113	100
151	11	37	24
152	53	87	67
153	36	72	49
154	20	50	37
155	78	105	92
156	94	107	11
157	73	99	86
158	44	70	57
159	97	11	110
160	94	3	107
161	83	109	96
162	34	60	47
163	32	59	46
164	64	77	90
165	104	30	11
166	47	80	60
167	66	93	80
168	18	44	31
169	12	38	25
170	54	88	68
171	15	42	29
172	12	36	23
173	40	67	54
174	29	55	42
175	100	21	3
176	56	82	69
177	103	21	12
178	103	22	11
179	71	97	84
180	61	88	75
181	74	100	87
182	25	51	39
183	36	63	50
184	62	88	75
185	16	43	30
186	17	51	31
187	33	59	46
188	21	47	34
189	60	87	74
190	50	76	63
191	44	78	58
192	79	105	92
193	40	74	54
194	93	3	106
195	28	55	42
196	25	51	38
197	86	112	99
198	95	12	109
199	71	97	84
