Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	27	63	43
1	12	96	76
2	66	11	80
3	34	67	47
4	1124	22	35
5	52	86	65
6	29	63	43
7	54	87	67
8	28	61	41
9	37	71	50
10	12	46	26
11	3	39	21
12	14	48	28
13	56	90	70
14	929	40	53
15	67	11	80
16	323	71	3
17	1445	291	59
18	53	86	66
19	35	69	48
20	72	29	11
21	64	11	77
22	18	51	31
23	13	46	26
24	28	61	41
25	11	43	24
26	54	87	67
27	95	54	68
28	425	32	45
29	68	11	82
30	30	63	44
31	22	56	35
32	33	66	46
33	45	79	59
34	3	39	20
35	11	41	21
36	37	70	50
37	646	40	53
38	384	3	76
39	277	25	38
40	176	65	79
41	59	92	73
42	21	55	35
43	24	58	38
44	43	76	56
45	54	87	68
46	29	62	42
47	29	49	16
48	27	60	40
49	34	67	47
50	364	43	57
51	63	3	76
52	74	30	11
53	11	24	75
54	46	79	59
55	46	69	33
56	11	96	76
57	54	87	67
58	51	88	64
59	502	38	51
60	20	53	33
61	15	48	28
62	61	94	74
63	32	65	45
64	21	54	34
65	54	74	40
66	12	44	24
67	37	71	51
68	25	58	38
69	26	60	40
70	18	51	31
71	56	89	69
72	35	69	49
73	526	62	75
74	51	84	64
75	64	3	77
76	35	68	48
77	150	38	52
78	17	50	30
79	18	50	31
80	54	87	67
81	993	37	51
82	71	29	11
83	295	44	57
84	35	68	48
85	411	18	31
86	24	57	37
87	43	76	56
88	41	75	55
89	45	78	58
90	3	39	21
91	44	77	57
92	41	74	54
93	35	69	49
94	37	58	24
95	55	88	69
96	3	39	20
97	41	74	54
98	67	12	80
99	75	3	62
100	61	94	74
101	36	69	49
102	36	70	50
103	12	25	76
104	25	58	38
105	2056	694	38
106	39	73	53
107	15	48	28
108	44	77	57
109	12	100	80
110	50	83	63
111	61	94	74
112	1907	475	31
113	12	44	25
114	46	80	59
115	31	64	44
116	1507	213	52
117	13	46	26
118	1333	323	20
119	24	58	38
120	41	74	54
121	61	95	75
122	62	95	75
123	70	29	3
124	53	86	66
125	48	81	61
126	46	80	60
127	23	57	37
128	11	44	24
129	45	78	58
130	1577	283	51
131	31	65	44
132	31	65	45
133	56	89	69
134	29	62	42
135	1106	12	89
136	57	90	70
137	61	95	75
138	24	57	37
139	11	43	24
140	36	69	49
141	57	91	71
142	3	39	20
143	11	43	21
144	11	43	24
145	20	53	33
146	62	3	76
147	67	11	80
148	46	79	59
149	15	49	29
150	72	29	12
151	12	45	25
152	34	54	21
153	25	59	38
154	37	71	51
155	55	89	69
156	56	90	70
157	44	78	58
158	61	95	75
159	17	51	31
160	56	90	70
161	55	89	69
162	48	81	61
163	1022	3	77
164	65	11	78
165	47	81	61
166	66	11	79
167	23	56	36
168	65	12	78
169	76	37	12
170	26	59	39
171	43	76	56
172	39	72	52
173	57	17	30
174	72	28	11
175	64	11	77
176	29	62	42
177	27	60	40
178	24	58	37
179	1206	53	33
180	1033	305	72
181	11	43	23
182	11	44	23
183	27	60	40
184	425	32	45
185	65	11	78
186	62	3	75
187	51	84	64
188	27	47	14
189	82	42	55
190	47	80	60
191	108	68	81
192	31	65	45
193	52	85	65
194	1749	527	15
195	33	67	46
196	1134	196	35
197	62	3	75
198	50	83	63
199	286	34	47
200	73	30	11
201	15	48	28
202	767	21	34
203	25	59	39
204	43	76	56
205	598	63	76
206	48	82	61
207	48	81	61
208	1677	595	12
209	38	72	51
210	48	81	61
211	67	12	80
212	24	58	38
213	67	11	80
214	67	11	80
215	45	78	58
216	30	63	43
217	1442	218	57
218	21	54	34
219	13	47	27
220	74	30	11
221	14	47	27
222	31	64	44
223	20	54	34
224	1246	31	12
225	11	44	24
226	15	48	29
227	3	40	21
228	355	31	44
229	75	31	12
230	69	12	82
231	1587	432	59
232	49	82	62
233	487	22	35
234	39	72	52
235	21	54	34
236	11	40	20
237	647	39	53
238	16	49	29
239	46	79	59
240	11	44	24
241	11	45	25
242	22	55	35
243	12	45	25
244	24	57	37
245	1523	155	64
246	64	4	79
247	50	83	63
248	43	76	56
249	66	11	79
250	18	51	31
251	49	83	63
252	45	79	59
253	56	89	69
254	28	62	42
255	959	70	11
256	12	45	25
257	12	41	21
258	13	46	26
259	46	79	59
260	69	12	82
261	1807	511	66
262	60	93	73
263	24	58	38
264	917	27	40
265	171	60	73
266	14	47	27
267	43	77	57
268	18	51	31
269	70	28	3
270	53	86	66
271	46	80	60
272	16	49	29
273	42	75	55
274	48	81	61
275	43	76	56
276	57	91	71
277	37	71	51
278	34	68	48
279	1716	210	49
280	1644	562	47
281	31	65	45
282	1455	586	71
283	32	66	46
284	602	67	80
285	38	71	51
286	63	3	76
287	11	41	21
288	11	41	21
289	959	70	3
290	11	45	25
291	63	3	76
292	23	57	37
293	75	31	11
294	17	51	30
295	57	90	70
296	21	55	35
297	51	85	65
298	32	65	45
299	50	83	63
300	46	79	59
301	48	81	61
302	939	50	64
303	1091	60	74
304	75	32	11
305	71	29	11
306	48	81	61
307	21	54	34
308	16	49	29
309	65	11	78
310	3	39	21
311	63	3	76
312	1691	254	21
313	46	80	60
314	26	59	39
315	12	44	24
316	383	60	73
317	18	51	31
318	60	93	73
319	29	63	43
320	29	63	42
321	54	87	67
322	19	52	32
323	67	11	80
324	38	71	51
325	60	93	73
326	72	28	11
327	29	62	42
328	911	22	36
329	68	11	82
330	15	48	28
331	2004	710	54
332	55	88	68
333	46	80	60
334	42	76	56
335	33	67	47
336	18	51	31
337	72	29	11
338	86	46	59
339	67	11	80
340	727	51	64
341	33	67	46
342	34	67	47
343	53	86	66
344	27	60	40
345	1239	65	78
346	65	11	79
347	62	95	75
348	3	40	21
349	35	68	48
350	3	40	21
351	348	25	38
352	43	76	56
353	42	76	56
354	1700	52	32
355	27	60	40
356	11	42	22
357	17	50	30
358	62	3	76
359	37	71	51
360	627	20	33
361	71	30	3
362	12	46	26
363	50	84	64
364	12	46	26
365	17	50	30
366	68	11	81
367	28	61	42
368	40	74	54
369	61	95	75
370	44	78	58
371	11	42	22
372	16	49	29
373	70	29	3
374	11	41	21
375	40	74	54
376	41	74	54
377	832	13	26
378	67	11	80
379	3	40	21
380	27	60	41
381	29	62	42
382	30	63	43
383	31	65	45
384	76	32	12
385	13	46	26
386	66	11	79
387	17	50	30
388	58	91	71
389	35	69	49
390	622	16	29
391	33	66	46
392	31	65	45
393	70	29	3
394	31	64	44
395	2180	529	12
396	30	63	43
397	18	52	32
398	20	53	33
399	43	77	57
400	41	74	54
401	50	84	64
402	46	79	59
403	59	92	72
404	17	51	30
405	13	46	26
406	43	76	56
407	43	77	57
408	36	69	49
409	22	56	36
410	43	76	56
411	75	31	12
412	24	58	38
413	52	72	39
414	59	80	46
415	15	49	29
416	22	55	35
417	13	47	26
418	75	31	11
419	74	30	11
420	11	45	25
421	46	79	59
422	46	79	59
423	36	69	49
424	30	63	43
425	1263	23	36
426	1224	52	65
427	55	89	69
428	23	57	37
429	38	71	51
430	11	41	21
431	55	89	69
432	71	28	11
433	28	61	41
434	683	4	21
435	35	69	49
436	44	77	57
437	47	80	60
438	26	59	39
439	69	11	82
440	11	41	21
441	3	40	20
442	60	94	73
443	21	54	34
444	29	62	42
445	11	43	23
446	42	62	29
447	55	89	69
448	57	90	70
449	1331	18	32
450	39	73	53
451	71	28	11
452	63	3	76
453	64	11	78
454	1609	314	12
455	12	41	21
456	33	66	46
457	35	69	49
458	18	51	31
459	20	54	34
460	20	54	34
461	25	58	38
462	45	79	59
463	67	12	80
464	1267	41	21
465	43	77	57
466	65	11	78
467	48	81	61
468	112	71	11
469	16	49	30
470	3	39	20
471	52	85	65
472	3	21	70
473	38	72	52
474	69	12	82
475	24	57	37
476	60	80	47
477	75	30	11
478	27	61	41
479	38	72	51
480	607	70	11
481	194	11	21
482	51	85	64
483	26	60	39
484	35	68	48
485	62	11	75
486	27	60	40
487	70	29	4
488	49	83	63
489	32	65	45
490	476	12	25
491	62	3	75
492	22	55	35
493	46	81	60
494	12	46	26
495	26	59	39
496	489	25	38
497	72	28	11
498	74	30	11
499	59	92	72
500	67	12	80
501	711	34	48
502	27	61	41
503	222	40	54
504	49	82	62
505	36	69	49
506	32	65	45
507	569	33	46
508	53	86	66
509	75	31	11
510	43	76	56
511	58	91	71
512	28	61	41
513	28	48	15
514	38	72	52
515	41	75	55
516	37	70	50
517	65	11	78
518	14	47	27
519	3	43	21
520	65	11	78
521	2162	11	69
522	22	55	35
523	65	11	78
524	985	23	37
525	67	12	80
526	69	29	3
527	55	88	68
528	71	29	11
529	25	58	38
530	37	71	51
531	21	54	34
532	45	78	58
533	14	48	28
534	34	67	47
535	48	81	62
536	15	48	28
537	784	37	50
538	53	87	66
539	30	63	43
540	11	44	24
541	41	74	54
542	27	61	41
543	34	68	48
544	33	66	46
545	44	77	57
546	53	13	26
547	3	40	20
548	27	60	40
549	74	30	12
550	69	29	3
551	30	63	43
552	32	65	45
553	51	85	65
554	75	31	11
555	55	89	69
556	441	48	61
557	27	60	40
558	40	74	53
559	72	93	59
560	1914	763	38
561	26	60	39
562	3	39	20
563	46	79	59
564	39	72	52
565	19	52	32
566	60	93	73
567	62	3	76
568	156	45	58
569	1473	109	19
570	71	29	11
571	44	77	57
572	63	3	76
573	188	3	21
574	67	12	81
575	43	76	56
576	43	76	56
577	11	43	23
578	71	29	11
579	64	3	77
580	1059	30	43
581	16	49	29
582	45	79	59
583	12	45	25
584	50	11	23
585	12	45	25
586	775	28	41
587	46	80	60
588	978	18	31
589	26	60	40
590	30	64	44
591	23	57	37
592	48	82	62
593	55	88	68
594	11	44	24
595	66	86	53
596	3	40	21
597	28	62	42
598	53	86	67
599	11	41	21
600	11	42	22
601	31	64	44
602	60	93	73
603	35	69	49
