Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	948	977	964
1	503	530	517
2	922	935	948
3	361	387	374
4	24	51	38
5	482	509	496
6	344	371	358
7	514	541	528
8	543	569	556
9	68	95	82
10	490	517	504
11	987	1014	1001
12	787	800	813
13	513	540	527
14	705	732	719
15	973	999	986
16	213	227	240
17	287	313	300
18	296	322	309
19	777	790	804
20	935	961	948
21	11	34	21
22	254	267	280
23	47	60	74
24	819	833	846
25	493	519	506
26	180	207	194
27	123	149	136
28	848	862	875
29	965	991	978
30	853	866	880
31	998	1024	1011
32	734	760	748
33	902	929	916
34	439	465	452
35	831	857	844
36	469	482	495
37	54	67	80
38	648	661	674
39	157	184	171
40	162	175	188
41	750	777	764
42	144	157	170
43	603	630	617
44	353	366	379
45	479	505	493
46	503	530	517
47	717	744	731
48	882	896	909
49	389	415	403
50	601	614	628
51	122	148	135
52	698	725	712
53	504	517	530
54	847	861	874
55	889	915	902
56	418	444	431
57	489	502	515
58	367	381	394
59	531	544	557
60	518	545	532
61	759	786	773
62	797	811	824
63	338	364	351
64	677	703	690
65	386	412	399
66	625	638	651
67	90	117	104
68	425	452	439
69	762	788	775
70	992	1018	1006
71	874	888	901
72	85	99	112
73	524	551	538
74	539	565	552
75	888	914	901
76	989	1016	1003
77	323	349	336
78	682	708	695
79	600	626	613
80	776	803	790
81	1001	3	1014
82	1011	20	11
83	11	37	23
84	240	266	253
85	256	283	270
86	347	373	360
87	354	367	380
88	540	566	553
89	335	362	349
90	935	961	949
91	625	652	639
92	499	526	513
93	394	421	407
94	41	54	67
95	69	96	83
96	887	900	913
97	69	95	83
98	629	655	642
99	32	58	45
100	758	784	771
101	973	986	999
102	422	448	435
103	635	662	649
104	719	745	732
105	574	601	588
106	90	103	116
107	622	635	649
108	137	163	150
109	63	89	76
110	447	474	461
111	491	504	517
112	168	194	181
113	322	348	335
114	350	377	364
115	371	398	384
116	487	501	514
117	698	724	711
118	891	918	904
119	99	113	126
120	269	296	283
121	537	563	550
122	850	876	863
123	838	865	852
124	199	212	225
125	163	176	190
126	106	120	133
127	816	843	830
128	663	677	690
129	561	587	575
130	425	452	439
131	627	641	654
132	382	408	395
133	982	1008	995
134	616	629	642
135	191	204	217
136	348	375	362
137	609	622	635
138	128	154	141
139	809	823	836
140	187	200	213
141	735	748	761
142	667	693	681
143	772	799	786
144	940	967	954
145	479	492	505
146	25	51	38
147	974	987	1001
148	1011	11	21
149	933	946	959
150	34	48	61
151	989	1021	1006
152	94	121	108
153	924	937	951
154	419	433	446
155	1005	11	1032
156	205	231	218
157	164	190	177
158	619	645	632
159	753	781	768
160	694	721	708
161	395	408	422
162	17	31	44
163	461	488	475
164	378	392	405
165	740	767	754
166	822	849	836
167	216	229	242
168	105	132	118
169	311	338	325
170	920	934	947
171	200	228	214
172	176	203	190
173	883	896	910
174	405	418	431
175	477	504	491
176	891	917	904
177	11	24	36
178	76	103	90
179	211	238	225
180	209	236	223
181	918	944	931
182	440	454	467
183	744	771	758
184	460	486	474
185	754	781	768
186	251	264	277
187	836	862	850
188	433	460	447
189	534	547	560
190	306	333	320
191	560	586	573
192	288	314	301
193	123	149	136
194	126	156	143
195	425	451	438
196	985	1015	1002
197	650	680	667
198	214	227	240
199	11	20	33
200	19	45	32
201	464	494	481
202	370	384	397
203	224	255	241
204	490	520	503
205	882	896	909
206	966	992	979
207	526	553	540
208	579	592	605
209	160	189	174
210	537	550	563
211	727	757	740
212	303	316	329
213	250	276	263
214	551	577	564
215	227	253	240
216	785	799	812
217	702	728	716
218	237	263	251
219	1002	1015	3
220	892	918	905
221	190	217	204
222	689	702	715
223	236	249	262
224	997	1023	1010
225	498	525	512
226	113	139	126
227	860	886	873
228	34	47	60
229	42	69	56
230	151	164	177
231	649	676	663
232	254	268	281
233	441	467	455
234	185	211	198
235	851	864	877
236	49	62	76
237	739	765	752
238	895	922	908
239	667	693	680
240	695	721	708
241	23	50	37
242	538	552	565
243	1010	21	11
244	512	538	526
245	767	794	781
246	399	426	413
247	717	743	730
248	552	578	565
249	452	479	466
250	3	21	32
251	622	649	636
252	625	638	651
253	741	755	768
254	656	669	682
255	848	861	874
256	658	684	672
257	924	950	937
258	182	208	195
259	343	356	369
260	541	568	555
261	307	333	320
262	27	53	40
263	671	698	685
264	962	975	988
265	612	625	638
266	377	404	390
267	222	248	235
268	471	485	498
269	89	115	102
270	574	588	601
271	364	391	377
272	378	404	391
273	263	290	277
274	372	398	386
275	826	852	840
276	45	58	71
277	340	353	366
278	915	928	941
279	657	684	671
280	307	333	320
281	128	154	142
282	64	91	78
283	66	94	81
284	156	182	169
285	609	635	622
286	162	189	176
287	273	300	286
288	309	336	323
289	552	579	565
290	998	1024	1011
291	517	543	530
292	548	574	562
293	412	426	439
294	489	515	502
295	386	413	399
296	554	580	567
297	1002	4	1015
298	180	206	193
299	438	465	452
300	889	915	902
301	561	574	587
302	263	289	276
303	438	464	451
304	877	903	890
305	858	885	872
306	932	959	945
307	897	911	924
308	651	678	665
309	293	319	306
310	503	530	516
311	17	44	31
312	559	586	573
313	780	794	807
314	123	149	136
315	173	200	187
316	520	547	534
317	626	639	652
318	167	181	194
319	276	303	290
320	939	952	965
321	907	921	934
322	670	697	683
323	202	228	215
324	922	948	935
325	735	761	748
326	337	363	350
327	93	120	107
328	941	968	955
329	639	666	653
330	762	788	776
331	328	354	341
332	700	726	713
333	545	558	571
334	305	332	319
335	960	986	973
336	717	743	730
337	604	631	618
338	1013	22	11
339	465	492	479
340	909	923	936
341	96	110	123
342	271	284	297
343	637	650	663
344	727	753	740
345	233	260	246
346	191	217	205
347	948	961	974
348	557	571	584
349	243	269	257
350	571	597	584
351	180	206	193
352	363	377	390
353	266	293	280
354	420	447	434
355	177	203	190
356	582	596	609
357	360	374	387
358	739	752	765
359	104	130	117
360	517	543	531
361	964	991	978
362	944	970	957
363	783	810	797
364	135	162	149
365	994	1020	1007
366	296	322	309
367	870	896	883
368	477	504	491
369	266	293	280
370	1015	23	11
371	68	94	81
372	140	166	153
373	16	42	29
374	787	813	800
375	1010	1023	11
376	130	156	143
377	628	654	641
378	400	427	414
379	215	229	242
380	109	136	123
381	232	258	246
382	145	172	158
383	132	158	146
384	592	605	618
385	505	518	531
386	893	920	907
387	636	663	650
388	374	401	388
389	919	945	932
390	724	738	751
391	992	1019	1006
392	842	856	869
393	329	342	355
394	204	230	218
395	220	246	233
396	800	826	813
397	575	601	588
398	565	592	579
399	984	1010	997
400	802	829	816
401	821	848	835
402	741	755	768
403	557	584	570
404	130	156	144
405	251	278	265
