Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
391	228	186	207
392	476	455	497
393	167	208	188
394	799	777	819
395	297	277	256
396	872	893	851
397	193	151	172
398	701	743	723
399	691	713	734
400	816	774	796
401	608	587	629
402	579	600	557
403	979	958	937
404	383	362	341
405	67	88	46
406	425	446	466
407	989	1011	1032
408	833	854	874
409	249	226	204
410	159	118	139
411	579	558	537
412	619	606	588
413	444	485	465
414	40	81	61
415	663	684	705
416	347	368	388
417	643	617	631
418	880	839	860
419	854	880	867
420	512	533	491
421	889	903	916
422	856	835	813
423	223	249	237
424	490	470	449
425	472	514	493
426	757	778	799
427	1003	982	11
428	955	935	913
429	47	26	68
430	634	655	613
431	587	608	565
432	973	993	952
433	475	453	496
434	112	133	154
435	330	308	351
436	729	750	708
437	725	705	683
438	725	746	704
439	351	309	330
440	884	904	863
441	542	563	520
442	112	145	132
443	359	339	318
444	706	726	684
445	464	485	506
446	428	402	416
447	11	29	1011
448	859	837	879
449	642	600	622
450	588	540	568
451	979	1005	993
452	193	172	214
453	982	962	940
454	411	438	425
455	99	71	120
456	933	975	955
457	944	903	924
458	859	907	887
459	597	617	576
460	924	902	944
461	373	331	352
462	229	256	277
463	610	568	590
464	576	598	619
465	975	1016	996
466	831	782	810
467	77	98	56
468	280	259	238
469	781	824	803
470	1022	1002	980
471	309	360	331
472	262	285	313
473	777	798	755
474	85	64	106
475	24	38	51
476	994	981	1007
477	75	124	96
478	221	263	242
479	721	743	764
480	949	998	971
481	478	457	499
482	917	896	938
483	11	995	1016
484	737	758	717
485	981	960	938
486	882	839	861
487	209	166	188
488	401	422	443
489	113	91	134
490	520	562	541
491	606	654	634
492	756	798	778
493	891	911	868
494	933	906	920
495	641	662	683
496	394	374	352
497	158	115	137
498	669	649	628
499	206	227	248
500	636	616	595
501	705	683	726
502	839	796	818
503	177	198	219
504	492	470	512
505	212	233	191
506	77	98	119
507	785	764	743
508	708	688	667
509	171	150	192
510	464	422	444
511	387	367	346
512	539	498	519
513	1003	990	976
514	201	180	159
515	541	562	583
516	364	323	344
517	519	539	497
518	298	318	277
519	229	249	207
520	957	978	999
521	984	1005	1026
522	584	563	542
523	520	541	562
524	800	843	822
525	158	199	179
526	968	1011	990
527	13	34	1014
528	993	972	1014
529	282	262	241
530	427	407	394
531	788	768	747
532	640	598	620
533	138	118	96
534	120	133	106
535	238	217	258
536	411	454	433
537	123	144	102
538	927	885	906
539	345	366	386
540	492	534	514
541	682	703	723
542	713	671	693
543	820	794	807
544	1008	1029	987
545	671	684	658
546	478	457	499
547	787	744	766
548	287	314	301
549	844	885	865
550	321	278	300
551	910	930	888
552	408	387	365
553	100	80	59
554	51	11	30
555	181	138	160
556	973	994	951
557	993	959	981
558	686	727	707
559	307	287	265
560	214	194	173
561	272	295	316
562	726	746	704
563	444	457	471
564	969	948	989
565	810	831	789
566	593	635	615
567	161	141	120
568	176	197	155
569	55	34	13
570	689	731	711
571	921	900	878
572	631	672	652
573	222	244	265
574	411	432	390
575	584	563	542
576	228	206	249
577	240	260	219
578	207	185	227
579	223	195	174
580	825	847	868
581	143	164	121
582	987	966	945
583	254	233	211
584	21	34	11
585	547	526	568
586	297	317	330
587	367	388	346
588	620	641	662
589	977	990	954
590	173	131	152
591	59	39	18
592	86	66	45
593	996	975	1016
594	977	956	935
595	417	438	395
596	962	921	942
597	602	581	560
598	167	188	146
599	307	349	328
600	392	372	351
601	918	897	876
602	107	85	127
603	418	397	376
604	998	957	978
605	234	192	214
606	634	675	655
607	363	384	342
608	381	424	403
609	861	820	841
610	458	432	445
611	135	176	156
612	886	929	908
613	977	998	1019
614	566	608	588
615	393	435	415
616	452	473	494
617	692	672	651
618	934	955	912
619	604	583	625
620	231	208	252
621	157	178	135
622	215	173	195
623	305	285	263
624	468	447	426
625	957	936	978
626	559	580	601
627	181	160	139
628	874	832	854
629	137	179	158
630	417	438	396
631	85	64	43
632	195	172	217
633	764	785	742
634	828	784	807
635	386	409	431
636	612	634	655
637	975	996	1017
638	827	848	868
639	738	759	717
640	338	358	317
641	885	871	898
642	147	106	127
643	392	350	372
644	288	267	308
645	528	486	508
646	655	613	635
647	81	101	60
648	678	699	657
649	394	374	353
650	715	736	694
651	663	705	684
652	249	270	227
653	914	936	957
654	553	532	574
655	160	138	181
656	253	266	240
657	440	462	483
658	450	471	428
659	718	694	739
660	181	153	168
661	879	921	900
662	137	162	150
663	33	75	55
664	548	528	507
665	50	91	71
666	188	166	208
667	583	541	562
668	374	362	348
669	687	645	667
670	173	194	152
671	516	474	496
672	790	769	811
673	325	345	303
674	86	112	99
675	430	388	409
676	478	499	457
677	257	236	216
678	383	405	426
679	993	1015	11
680	510	489	531
681	332	310	353
682	489	511	531
683	905	925	884
684	128	86	108
685	501	543	522
686	672	692	651
687	392	434	414
688	963	984	941
689	1010	12	29
690	388	430	409
691	219	197	239
692	45	86	66
693	272	292	251
694	29	56	43
695	971	996	948
696	134	156	177
697	107	87	66
698	75	33	55
699	411	390	369
700	182	195	169
701	452	411	432
702	983	1003	962
703	440	426	453
704	543	523	501
705	23	66	45
706	272	294	315
707	718	761	740
708	442	400	422
709	940	918	961
710	997	1017	976
711	480	438	459
712	988	1009	11
713	962	1004	984
714	822	844	865
715	635	656	677
716	209	235	223
717	448	469	490
718	360	337	381
719	49	28	69
720	291	250	271
721	301	321	279
722	199	178	158
723	209	167	188
724	409	450	430
725	482	502	461
726	186	229	208
727	4	27	1014
728	704	661	683
729	640	619	661
730	999	978	1020
731	128	148	106
732	263	221	243
733	423	446	467
734	706	662	685
735	98	76	119
736	111	154	133
737	380	359	337
738	447	405	427
739	140	162	182
740	373	393	406
741	274	295	252
742	88	46	68
743	583	542	563
744	876	855	834
745	909	930	951
746	341	383	362
747	639	618	660
748	568	589	610
749	748	768	727
750	246	267	225
751	272	315	294
752	806	833	820
753	600	559	580
754	292	271	250
755	749	728	705
756	554	596	576
757	586	606	564
758	192	213	234
759	589	632	611
760	1023	980	1002
761	978	956	999
762	829	808	787
763	537	564	551
764	656	676	634
765	938	980	960
766	361	403	383
767	919	877	898
768	256	235	214
769	231	252	273
770	682	661	639
771	110	131	152
772	45	23	66
773	70	92	113
774	569	612	591
775	184	158	171
776	475	517	496
777	577	598	619
778	588	608	566
779	859	817	838
780	670	712	691
781	50	29	4
782	469	491	511
783	1061	21	12
784	430	410	443
785	983	1004	1025
786	111	132	87
787	164	143	121
788	135	158	179
789	491	512	469
790	314	357	337
791	480	452	430
792	551	528	572
793	966	944	987
794	761	783	805
795	697	675	718
796	113	123	139
797	591	612	569
798	556	543	528
799	66	86	44
800	143	165	186
801	814	856	836
802	851	809	831
803	439	482	460
804	123	164	144
805	209	232	252
806	534	554	567
807	549	592	571
808	100	142	122
809	484	505	526
810	703	724	744
811	239	260	280
812	906	933	920
813	928	949	907
814	681	724	704
815	429	471	451
816	126	104	146
817	478	451	465
818	452	410	432
819	646	626	605
820	948	989	969
821	474	452	495
822	552	531	510
823	32	11	53
824	627	648	668
825	892	872	851
826	190	169	211
827	474	496	517
828	893	913	871
829	743	765	786
830	307	349	328
831	373	360	386
832	572	592	550
833	432	473	453
834	322	302	281
835	296	276	254
836	931	910	889
837	194	218	231
838	581	623	603
839	615	594	574
840	120	152	139
841	272	251	229
842	452	494	473
843	406	428	448
844	636	594	615
845	1022	1009	996
846	671	692	649
847	1010	1031	989
848	127	105	147
849	90	110	69
850	882	841	862
851	130	151	172
852	261	240	282
853	134	176	156
854	268	247	288
855	56	15	36
856	84	62	104
857	780	822	801
858	106	85	63
859	220	200	179
860	52	31	11
861	724	702	745
862	1046	1032	1059
863	784	742	763
864	54	74	33
865	96	80	110
866	216	237	195
867	11	1011	30
868	879	921	900
869	105	63	85
870	467	425	447
871	1012	1033	991
872	945	987	966
