=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:13:54 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
369	24	1079	12
370	32	21	11
371	3	1077	20
372	934	910	923
373	384	397	408
374	102	91	78
375	41	54	65
376	524	535	511
377	170	181	157
378	549	537	560
379	702	678	691
380	592	605	616
381	83	93	70
382	145	133	119
383	623	599	612
384	669	657	644
385	1036	1048	1075
386	681	668	692
387	108	121	132
388	1024	1013	999
389	939	950	926
390	1019	1030	1006
391	780	768	791
392	337	346	327
393	574	564	583
394	787	811	800
395	523	547	536
396	905	887	916
397	31	21	12
398	485	508	498
399	985	995	1005
400	510	521	498
401	922	911	899
402	940	927	951
403	603	592	580
404	40	16	29
405	137	150	161
406	857	833	846
407	460	436	449
408	34	23	12
409	949	984	971
410	244	255	324
411	193	181	272
412	825	838	849
413	950	926	939
414	270	281	257
415	538	551	562
416	83	94	70
417	764	739	753
418	169	180	157
419	1036	1047	1023
420	454	467	478
421	486	473	497
422	523	499	512
423	311	288	301
424	65	42	55
425	151	139	163
426	320	299	310
427	803	790	814
428	851	827	840
429	696	675	686
430	819	806	830
431	342	362	352
432	907	921	932
433	119	140	130
434	1070	12	1082
435	639	663	653
436	1024	1037	1048
437	386	396	373
438	360	370	380
439	79	55	69
440	1072	1061	1048
441	1022	1008	1033
442	793	816	806
443	97	108	118
444	910	933	923
445	21	12	1072
446	692	715	705
447	585	596	573
448	531	542	519
449	994	985	974
450	91	104	115
451	758	725	737
452	839	827	814
453	443	420	432
454	449	460	436
455	715	692	704
456	552	528	541
457	825	802	814
458	798	818	808
459	329	342	352
460	505	495	515
461	231	243	254
462	1049	1065	1075
463	598	622	611
464	419	410	400
465	139	119	129
466	226	239	250
467	906	917	893
468	94	83	70
469	218	205	229
470	976	988	999
471	409	430	420
472	21	11	32
473	184	174	193
474	1049	1062	1073
475	876	886	863
476	92	81	68
477	913	889	902
478	137	113	126
479	1026	1015	1002
480	232	221	208
481	551	562	538
482	15	39	28
483	148	161	172
484	178	188	165
485	322	309	332
486	533	522	509
487	698	685	709
488	992	1003	979
489	129	120	110
490	569	545	558
491	400	420	410
492	518	529	505
493	941	965	954
494	859	838	849
495	73	50	62
496	575	588	599
497	531	519	543
498	525	511	536
499	616	593	605
500	95	107	77
501	358	347	335
502	710	697	721
503	249	238	224
504	161	150	138
505	850	826	839
506	842	831	818
