=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:17:21 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	62	34	52
1	66	75	56
2	84	74	11
3	36	16	26
4	70	79	60
5	39	29	48
6	33	24	14
7	67	57	76
8	22	13	3
9	72	52	62
10	12	21	79
11	2382	2391	2372
12	59	69	79
13	46	55	37
14	40	29	49
15	43	64	54
16	32	22	12
17	32	52	42
18	12	74	84
19	63	43	53
20	3	30	20
21	19	29	39
22	80	60	70
23	78	58	68
24	33	53	43
25	68	59	49
26	52	42	33
27	68	58	77
28	34	54	44
29	39	18	29
30	34	13	24
31	71	61	51
32	30	50	40
33	74	54	64
34	62	71	52
35	36	16	26
36	83	11	73
37	78	11	21
38	31	20	40
39	3	12	75
40	64	73	54
41	30	40	720
42	68	49	59
43	22	31	12
44	34	24	15
45	69	59	78
46	75	66	56
47	28	18	37
48	735	755	745
49	11	30	20
50	52	42	61
51	81	4	72
52	55	45	64
53	21	30	3
54	21	30	12
55	12	21	3
56	3	12	21
57	86	76	11
58	51	42	32
59	72	62	81
60	3	22	12
61	773	71	61
62	3	75	12
63	3665	3643	3655
64	43	52	33
65	58	38	49
66	22	13	3
67	41	61	51
68	5438	5418	5428
69	35	45	25
70	26	36	46
71	75	55	65
72	53	33	43
73	71	3	80
74	739	718	729
75	69	49	59
76	32	22	12
77	80	71	3
78	155	164	145
79	60	40	50
80	21	79	11
81	61	41	51
82	70	79	60
83	21	30	11
84	81	60	71
85	60	50	69
86	30	39	20
87	13	163	3
88	33	42	23
89	36	26	45
90	13	84	3
91	73	12	82
92	19	28	38
93	68	77	58
94	41	21	31
95	23	33	43
96	12	75	3
97	21	30	11
98	70	60	79
99	80	60	70
100	13	21	3
101	65	55	46
102	37	27	17
103	76	3	12
104	2144	2123	2134
105	4139	4159	4150
106	25	36	45
107	17	27	37
108	36	26	16
109	13	33	24
110	47	27	37
111	35	246	25
112	1058	1067	1048
113	22	31	13
114	1477	1486	1467
115	55	65	75
116	52	61	42
117	46	37	27
118	75	64	83
119	81	3	71
120	21	85	12
121	55	64	45
122	88	79	11
123	66	46	56
124	38	58	48
125	32	23	13
126	19	29	39
127	12	83	73
128	65	55	74
129	22	31	12
130	48	58	68
131	39	29	48
132	51	42	32
133	50	40	58
134	31	22	12
