=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:11:54 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
375	956	945	871
376	309	299	225
377	962	972	890
378	821	812	802
379	356	346	336
380	768	777	758
381	249	240	230
382	548	557	537
383	696	686	677
384	79	88	69
385	93	102	84
386	514	504	494
387	724	714	704
388	12	21	3
389	781	772	762
390	370	361	351
391	571	562	552
392	206	197	187
393	154	145	135
394	887	878	868
395	1013	1004	994
396	616	607	597
397	294	303	284
398	47	37	27
399	343	352	333
400	616	607	597
401	382	391	372
402	1048	1057	1038
403	1065	1056	1046
404	931	940	921
405	85	76	66
406	460	450	440
407	309	300	290
408	894	885	874
409	924	915	905
410	267	276	257
411	229	220	210
412	228	218	208
413	257	266	247
414	696	686	624
415	322	332	248
416	130	139	120
417	759	749	739
418	991	982	972
419	206	196	186
420	211	220	201
421	437	446	427
422	900	909	890
423	782	728	719
424	402	332	322
425	60	1066	1056
426	114	51	41
427	468	403	393
428	15	988	978
429	712	640	630
430	258	186	177
431	402	338	328
432	79	1065	1055
433	873	809	799
434	828	764	754
435	195	131	121
436	45	1032	1023
437	721	657	647
438	946	882	872
439	350	294	284
440	218	227	208
441	824	815	805
442	746	757	687
443	279	269	195
444	890	880	806
445	544	554	469
446	225	215	141
447	184	173	99
448	814	824	740
449	377	367	358
450	975	984	965
451	105	114	96
452	955	946	936
453	856	866	794
454	681	671	596
455	474	464	389
456	189	179	104
457	299	308	289
458	945	954	935
459	900	909	890
460	1071	1062	1052
461	894	884	874
462	755	746	736
463	316	325	306
464	62	52	43
465	418	408	399
466	300	291	281
467	814	804	795
468	469	478	459
469	922	932	860
470	684	673	599
471	672	682	598
472	954	944	869
473	747	737	663
474	77	67	1034
475	32	22	985
476	704	715	630
477	93	83	11
478	119	108	34
479	48	57	38
480	110	119	100
481	485	494	475
482	537	546	527
483	170	161	151
484	720	711	701
485	53	44	34
486	376	367	357
487	503	513	445
488	256	266	182
489	348	359	284
490	470	460	385
491	864	854	743
492	510	500	358
493	989	979	836
494	873	883	798
495	477	487	403
496	82	92	1072
497	617	607	532
498	1026	1036	952
499	741	750	731
500	806	796	786
501	414	404	395
502	586	595	576
503	628	619	609
504	710	701	691
505	690	681	671
506	826	835	817
507	84	93	74
508	419	429	359
509	938	928	854
510	511	521	447
511	130	139	57
512	341	332	259
513	947	937	862
514	31	21	976
515	498	489	348
516	308	298	128
517	369	359	154
518	209	199	1026
519	891	881	645
520	209	200	1029
521	855	845	597
522	125	115	935
523	203	193	1043
524	992	982	755
525	714	704	459
526	1047	1037	788
527	298	288	32
528	781	772	513
529	116	106	880
530	25	15	758
531	622	612	307
532	945	935	625
533	97	87	814
534	245	235	929
535	979	968	588
536	1024	1014	630
537	819	809	420
538	56	45	719
539	791	781	387
540	442	432	67
541	546	536	133
542	831	821	415
543	323	312	966
544	247	237	884
545	319	309	929
546	731	721	266
547	140	130	740
548	86	76	658
549	653	643	121
550	1039	1029	474
551	601	591	49
552	450	440	993
553	177	166	743
554	837	827	355
555	495	485	16
556	788	778	312
557	787	777	309
558	692	682	212
559	67	57	654
560	494	485	16
561	81	68	664
562	772	762	284
563	469	459	1015
564	113	103	664
565	21	3	529
566	250	240	734
567	697	687	74
568	830	820	194
569	772	759	124
570	689	679	37
571	748	738	42
572	1019	1009	304
573	493	483	876
574	895	886	201
575	506	496	871
576	394	384	707
577	755	745	1069
578	437	427	751
579	525	515	806
580	328	318	577
581	484	474	727
582	453	442	686
583	1065	1055	212
584	860	850	4
585	436	426	653
586	1029	1020	173
587	350	340	567
588	118	108	338
589	666	656	879
590	861	851	1061
591	819	809	1010
592	739	729	919
593	1052	1042	153
594	823	812	982
595	24	13	169
596	21	4	82
597	1025	1016	1090
598	513	503	522
599	484	474	493
600	351	341	360
601	82	61	72
602	961	941	952
603	870	849	860
604	658	638	648
605	435	425	444
606	375	355	365
607	163	94	153
608	897	823	907
609	529	454	540
610	665	645	655
611	171	151	161
612	583	573	592
613	443	423	433
614	720	700	710
615	272	252	262
616	689	669	679
617	57	37	47
618	880	860	870
619	824	814	833
620	161	141	151
621	129	109	119
622	466	456	475
623	545	535	554
624	295	285	304
625	484	474	493
626	918	898	908
627	423	413	432
628	701	680	691
629	236	174	246
630	759	685	769
631	830	810	820
632	1072	1052	1062
633	61	41	51
634	621	551	611
635	34	998	24
636	168	85	158
637	500	416	490
638	74	1053	64
639	722	595	668
640	441	296	369
641	723	577	650
642	390	244	317
643	871	725	798
644	866	732	742
645	545	471	481
646	745	674	683
647	853	775	784
648	1049	975	985
649	625	549	559
650	739	670	680
651	445	424	435
652	503	483	493
653	999	989	1008
654	1065	1045	1055
655	98	78	88
656	105	84	95
657	526	506	516
658	158	138	148
659	745	724	735
660	77	57	67
661	131	111	121
662	481	417	491
663	543	470	553
664	109	1067	119
665	364	227	374
666	681	544	691
667	137	1035	147
668	419	212	429
669	188	1019	198
670	419	184	429
671	459	219	470
672	1070	824	11
673	857	581	867
674	936	626	947
675	297	1026	307
676	1025	648	1035
677	371	1062	381
678	449	73	459
679	877	469	887
680	240	897	250
681	958	537	968
682	550	126	560
683	416	1049	427
684	663	219	673
685	81	695	91
686	540	69	550
687	427	1019	438
688	984	510	994
689	883	411	893
690	138	736	148
691	632	187	642
692	13	614	24
693	662	218	672
