=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.09.26 12:16:17 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
386	71	80	62
387	130	121	111
388	47	56	37
389	134	125	115
390	36	45	26
391	158	167	148
392	78	87	69
393	11	20	161
394	91	12	81
395	172	162	153
396	63	53	44
397	21	11	163
398	140	149	130
399	71	62	52
400	96	105	86
401	113	102	28
402	62	41	51
403	109	89	99
404	64	54	73
405	62	42	52
406	40	112	30
407	120	129	111
408	94	85	75
409	149	140	130
410	90	99	80
411	13	21	3
412	172	163	153
413	75	66	56
414	31	39	21
415	89	98	79
416	109	119	129
417	145	165	155
418	128	138	147
419	52	72	62
420	81	101	91
421	113	133	123
422	19	30	39
423	97	156	87
424	20	11	161
425	43	34	24
426	78	87	68
427	64	54	45
428	154	144	134
429	81	71	61
430	35	25	15
431	30	21	11
432	100	90	79
433	12	169	159
434	156	165	146
435	53	62	43
436	47	56	37
437	163	172	153
438	70	79	60
439	57	66	47
440	104	113	94
441	38	29	19
442	128	118	108
443	137	146	127
444	173	164	154
445	30	39	20
446	84	93	74
447	163	154	144
448	94	103	85
449	32	40	21
450	60	51	41
451	20	29	11
452	168	11	158
453	134	124	114
454	21	30	11
455	35	26	16
456	118	108	98
457	47	37	28
458	53	62	44
459	70	79	60
460	125	133	114
461	67	76	58
462	131	122	112
463	56	64	46
464	117	107	97
465	144	153	134
466	158	167	148
467	37	28	18
468	42	32	23
469	163	154	144
470	130	120	110
471	49	40	30
472	98	107	89
473	91	82	72
474	80	89	70
475	79	70	60
476	158	167	148
477	117	107	98
478	115	124	105
479	165	156	146
480	53	44	34
481	51	60	41
482	29	38	19
483	49	58	39
484	21	12	3
485	51	41	31
486	132	141	122
487	78	68	58
488	124	115	104
489	90	80	70
490	55	46	36
491	147	138	128
492	117	126	108
493	96	86	76
494	115	106	96
495	143	134	124
496	117	126	107
497	97	106	87
498	42	33	23
499	129	120	110
500	3	165	155
501	114	123	105
502	91	100	81
503	11	20	162
504	152	161	142
505	57	66	47
506	82	72	62
507	31	40	21
508	133	143	65
509	45	55	64
510	79	89	99
511	136	157	147
512	25	35	45
513	71	81	91
514	127	147	137
515	102	92	111
516	172	152	162
517	153	143	162
518	86	76	95
519	58	48	67
520	114	172	105
521	69	78	60
522	163	172	153
523	109	99	89
524	33	42	24
525	148	138	129
526	28	36	18
527	72	51	62
528	113	93	103
529	32	22	41
530	39	19	29
531	106	86	96
532	61	41	51
533	73	53	63
534	72	52	62
535	44	24	34
536	76	56	66
537	129	109	119
538	86	76	95
539	164	154	3
540	147	127	137
541	68	58	77
542	128	108	118
543	135	115	125
544	71	61	80
545	38	18	28
546	55	35	45
547	3	156	166
548	12	158	168
549	100	90	109
550	117	97	107
551	3	160	20
552	162	141	152
553	94	84	103
554	35	15	25
555	87	67	77
556	20	163	11
557	114	94	104
558	115	105	124
559	153	143	162
560	35	25	43
561	48	28	38
562	112	102	121
563	99	89	108
564	22	12	30
565	25	15	34
566	107	86	97
567	11	162	20
568	11	161	20
569	151	131	141
570	31	11	21
571	126	105	116
572	163	152	172
573	55	34	45
574	115	135	125
575	76	96	86
576	71	91	81
577	140	160	150
578	160	3	21
579	88	98	107
580	21	89	99
581	92	72	82
582	69	59	78
583	130	121	139
584	110	100	119
585	123	103	113
586	106	86	96
587	84	63	74
588	143	123	133
589	164	153	173
590	106	96	115
591	58	38	48
592	164	154	3
593	123	114	132
594	31	3	21
595	153	133	143
596	161	141	152
597	29	19	37
598	63	43	53
599	33	23	41
600	97	77	87
601	21	161	11
602	112	91	102
603	40	20	30
604	62	52	71
605	37	17	27
606	147	127	137
607	27	17	36
608	114	104	123
609	72	61	80
610	172	152	162
611	75	55	65
612	166	155	3
613	21	160	3
614	118	108	127
615	139	60	129
616	31	40	22
617	174	165	154
618	167	157	148
619	137	146	127
620	155	164	145
621	74	83	64
622	146	136	126
623	12	3	160
624	79	88	69
625	173	164	154
626	95	104	85
627	136	127	117
628	67	58	48
629	137	128	118
630	56	47	37
631	68	77	58
632	119	128	109
633	115	106	96
634	142	151	132
635	128	137	118
636	13	4	159
637	128	137	118
638	91	82	72
639	172	162	153
640	76	85	65
641	118	109	99
642	82	91	72
643	13	22	3
644	170	161	151
645	108	117	98
646	137	146	127
647	52	61	42
648	68	58	48
649	37	28	18
650	56	47	37
651	108	117	98
652	145	136	126
653	113	122	103
654	36	45	26
655	82	91	72
656	69	59	49
657	168	159	149
658	165	155	146
659	88	79	69
660	111	120	101
661	133	142	123
662	83	74	64
663	144	135	125
664	57	48	38
665	29	38	19
666	91	82	72
667	105	114	95
668	144	134	125
669	157	147	137
670	126	116	107
671	154	163	145
672	168	12	158
673	34	25	15
674	68	58	48
675	67	58	48
676	27	36	18
677	132	122	113
678	129	120	110
679	117	108	98
680	95	104	84
681	102	111	93
682	30	21	11
683	22	31	12
684	124	133	114
685	79	70	60
686	134	124	114
687	114	105	95
688	82	73	63
689	21	12	162
690	79	88	69
691	155	164	145
692	85	94	75
693	115	124	105
694	131	122	112
695	93	84	74
696	66	75	57
697	98	89	79
698	100	91	81
699	131	122	112
700	142	133	123
701	158	149	139
702	94	85	75
703	63	53	43
704	40	31	21
705	89	98	79
706	146	155	136
707	37	45	27
708	101	92	82
709	68	77	58
710	66	57	47
711	122	131	112
712	113	122	103
713	77	86	67
714	25	34	15
715	70	79	60
716	11	167	157
717	102	111	92
718	32	23	13
719	43	52	33
720	128	119	109
721	75	66	56
722	159	168	149
723	82	73	63
724	4	164	154
725	155	164	145
726	48	57	38
727	62	71	52
728	45	54	35
729	41	50	31
730	169	159	150
731	89	98	79
732	163	153	143
733	43	52	33
734	162	153	143
735	46	55	35
736	100	109	90
737	121	130	111
738	30	21	11
739	30	20	11
740	35	44	25
741	116	106	96
742	76	85	66
743	161	170	151
744	156	165	146
745	64	73	55
746	94	85	75
747	100	91	81
748	48	57	38
749	146	137	127
750	50	59	41
751	70	61	51
752	34	43	25
753	144	135	125
754	93	102	83
755	106	115	96
756	31	22	4
757	40	30	21
758	43	52	33
759	160	169	150
760	54	63	42
761	39	30	20
762	53	44	34
763	74	83	64
764	79	69	59
765	81	72	62
766	152	143	133
767	84	74	64
768	151	142	132
769	99	108	90
770	104	112	93
771	115	106	96
772	46	55	36
773	106	97	87
774	46	36	27
775	148	139	129
776	21	30	11
777	56	46	36
778	113	122	103
779	41	21	31
780	63	53	72
781	91	81	100
782	49	29	39
783	24	96	15
784	150	159	141
785	52	43	33
786	109	100	89
787	47	56	38
788	23	32	13
789	134	113	124
790	21	162	12
791	125	115	134
792	74	54	64
793	39	29	48
794	64	54	73
795	73	52	63
796	67	57	76
797	31	3	21
798	75	55	65
799	149	139	157
800	84	65	74
801	93	83	102
802	42	32	51
803	31	21	40
804	88	78	96
805	31	11	21
806	21	12	30
807	22	3	12
808	51	41	60
809	125	104	115
810	73	63	82
811	72	51	62
812	53	33	43
813	3	153	163
814	92	71	82
815	109	98	117
816	172	152	162
817	151	141	160
818	72	52	62
819	119	109	128
820	52	32	42
821	68	58	77
822	20	11	29
823	141	121	131
824	49	39	58
825	168	157	11
826	47	27	37
827	92	72	82
828	45	35	54
829	31	11	21
830	48	38	57
831	52	42	61
832	124	104	114
833	89	79	98
834	96	76	86
835	55	35	45
836	90	70	80
837	78	68	87
838	21	12	30
839	53	33	43
840	115	95	105
841	80	70	89
842	37	17	27
843	83	63	73
844	31	11	21
845	104	94	113
846	102	82	92
847	33	13	23
848	154	144	163
849	30	11	20
850	140	120	130
851	137	127	146
852	37	17	27
853	120	110	129
854	119	98	109
855	160	140	150
856	21	11	30
857	41	31	50
858	107	97	116
859	145	125	135
860	113	103	122
861	37	27	45
862	48	68	58
863	104	114	123
864	17	38	28
865	22	42	32
866	88	108	98
867	12	31	21
868	90	100	110
869	85	95	105
870	40	60	50
871	96	107	116
872	65	86	76
873	24	45	35
874	88	109	99
875	51	61	71
876	45	65	55
877	152	171	162
878	56	77	67
879	22	32	42
880	73	93	83
881	124	134	144
882	78	88	98
883	70	80	90
884	126	136	145
885	94	103	113
886	120	130	140
887	140	160	150
888	129	149	139
889	54	34	44
890	70	60	79
891	69	59	78
892	49	29	39
893	20	11	29
894	39	19	29
895	59	39	49
896	97	77	87
897	23	4	13
898	100	90	109
899	112	92	102
900	30	11	20
901	129	119	138
902	95	74	85
903	152	143	161
904	159	149	168
905	134	124	143
906	43	33	52
907	166	146	156
908	127	107	117
909	95	75	85
910	93	83	102
911	124	114	133
912	13	159	4
913	91	72	82
914	92	71	82
915	21	12	30
916	98	78	88
917	62	42	52
918	134	114	124
919	79	59	69
920	158	148	167
921	93	83	102
922	140	130	149
923	33	23	42
924	51	30	41
925	37	17	27
926	95	74	85
927	167	157	11
928	54	34	44
929	41	31	50
930	11	162	20
931	172	152	162
932	74	53	64
933	127	117	136
934	123	103	113
935	123	103	113
936	30	11	20
937	131	111	122
938	120	110	129
939	61	41	51
940	67	57	76
941	3	159	12
942	98	78	88
943	31	21	40
944	112	133	123
945	42	52	61
946	32	42	51
947	71	91	81
948	145	165	155
949	97	107	116
950	151	161	171
951	79	88	98
952	53	63	73
953	91	101	111
954	64	74	83
955	55	75	65
956	164	12	21
957	41	62	52
958	62	82	72
959	144	3	12
960	19	39	29
961	102	112	122
962	162	11	20
963	76	96	86
964	69	79	88
965	154	164	173
966	17	37	27
967	47	67	57
968	29	39	48
969	99	120	110
970	12	21	31
971	54	74	64
972	30	50	40
973	130	151	141
974	24	34	44
975	144	164	154
976	116	126	135
977	66	76	85
978	69	90	80
979	154	164	174
980	69	79	89
981	94	114	104
982	159	3	12
983	98	108	118
984	88	98	108
985	71	81	91
986	121	141	131
987	114	124	133
988	90	110	100
989	87	97	107
990	92	102	112
991	36	46	56
992	3	20	30
993	36	46	56
994	135	145	155
995	37	47	57
996	154	3	164
997	88	108	98
998	115	135	125
999	142	152	162
